epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.501086950302124,0.0003000000142492354,0.9889000654220581,0.8783186078071594,0.4956304728984833,0.40869563817977905,0.82526695728302,0.8875501751899719,0.36772045493125916
1,0.5188405513763428,0.0003000000142492354,0.995369553565979,0.8730048537254333,0.5235123038291931,0.25217390060424805,1.0039840936660767,0.8632478713989258,0.16805323958396912
2,0.4985507130622864,0.0003000000142492354,0.9994767904281616,0.8743571043014526,0.4952143132686615,0.3231883943080902,0.9114482402801514,0.864130437374115,0.2645590603351593
3,0.49637681245803833,0.0003000000142492354,0.9474032521247864,0.8811136484146118,0.48730751872062683,0.3391304314136505,0.9742976427078247,0.8680202960968018,0.2845257818698883
4,0.508695662021637,0.0003000000142492354,0.9378848075866699,0.8880652189254761,0.49854350090026855,0.8710144758224487,0.6148301959037781,0.8720930218696594,0.9983360767364502
5,0.519565224647522,0.0003000000142492354,0.9228196144104004,0.8876889944076538,0.5131086111068726,0.8376811742782593,0.6233736276626587,0.8862559199333191,0.9334442615509033
6,0.539130449295044,0.0003000000142492354,0.8911097645759583,0.8979591727256775,0.531002938747406,0.8333333134651184,0.6252766251564026,0.8919354677200317,0.920133113861084
7,0.532608687877655,0.0003000000142492354,0.866155743598938,0.8949609398841858,0.5247607231140137,0.30579710006713867,1.5548080205917358,0.8910256624221802,0.23128119111061096
8,0.52173912525177,0.0003000000142492354,0.8591660857200623,0.8949671983718872,0.5106117129325867,0.873913049697876,0.4962749481201172,0.890577495098114,0.9750415682792664
9,0.533695638179779,0.0003000000142492354,0.8304436206817627,0.8968705534934998,0.5247607231140137,0.8594202995300293,0.5559790730476379,0.8888888955116272,0.9584026336669922
10,0.531521737575531,0.0003000000142492354,0.8317511081695557,0.8964285850524902,0.5222638249397278,0.7144927382469177,0.7912619113922119,0.885496199131012,0.7720465660095215
11,0.542391300201416,0.0003000000142492354,0.8283241391181946,0.8936464190483093,0.5384935736656189,0.8420289754867554,0.6036540865898132,0.8867924809455872,0.9384359121322632
12,0.5605072379112244,0.0003000000142492354,0.7823559045791626,0.9120498895645142,0.5480649471282959,0.7927536368370056,0.6251363158226013,0.8868243098258972,0.8735440969467163
13,0.5489130616188049,0.0001500000071246177,0.7604258060455322,0.9159482717514038,0.5305867791175842,0.643478274345398,0.7197365760803223,0.9006772041320801,0.6638935208320618
14,0.5684782862663269,0.0001500000071246177,0.7893159985542297,0.9083557724952698,0.5609654784202576,0.45507246255874634,0.8212718963623047,0.8947368264198303,0.42429283261299133
15,0.5565217137336731,0.0001500000071246177,0.7759789228439331,0.9062715172767639,0.5472326278686523,0.5275362133979797,0.78505939245224,0.8962535858154297,0.5174708962440491
16,0.5804347991943359,0.0001500000071246177,0.7745386362075806,0.9071288704872131,0.5771951675415039,0.6217391490936279,0.6229323148727417,0.900943398475647,0.6356073021888733
