epoch,accuracy,auc,learning_rate,loss,pr_auc,precision,recall,val_accuracy,val_auc,val_loss,val_pr_auc,val_precision,val_recall
0,0.5289855003356934,0.5146770477294922,0.00019999999494757503,0.37513551115989685,0.13444924354553223,0.1386973112821579,0.5070028305053711,0.8710144758224487,0.490409255027771,0.31547215580940247,0.12299555540084839,0.0,0.0
1,0.563043475151062,0.5139240026473999,0.00019999999494757503,0.35503923892974854,0.13538354635238647,0.13310284912586212,0.4313725531101227,0.8710144758224487,0.47124648094177246,0.34439972043037415,0.11342833191156387,0.0,0.0
2,0.5840579867362976,0.4735642373561859,0.00019999999494757503,0.35089707374572754,0.1217098981142044,0.11861138045787811,0.3445378243923187,0.8710144758224487,0.5284824967384338,0.3556889593601227,0.1418432891368866,0.0,0.0
3,0.6206521987915039,0.5244454145431519,0.00019999999494757503,0.3257468044757843,0.13678768277168274,0.13453389704227448,0.35574230551719666,0.8710144758224487,0.4891660213470459,0.6279649138450623,0.1328880488872528,0.0,0.0
4,0.625,0.521435022354126,0.00019999999494757503,0.31997835636138916,0.1427796632051468,0.1461377888917923,0.3921568691730499,0.8710144758224487,0.46718019247055054,0.3016093373298645,0.11439472436904907,0.0,0.0
5,0.6405797004699707,0.5127659440040588,0.00019999999494757503,0.3059897720813751,0.1354476511478424,0.1428571492433548,0.35574230551719666,0.8710144758224487,0.5326141119003296,0.3563821613788605,0.14182043075561523,0.0,0.0
6,0.6503623127937317,0.5139344930648804,0.00019999999494757503,0.29622945189476013,0.1344200223684311,0.13636364042758942,0.3193277418613434,0.6608695387840271,0.5178167819976807,0.2832631766796112,0.28307831287384033,0.13567839562892914,0.30337077379226685
7,0.6391304135322571,0.49085935950279236,0.00019999999494757503,0.2951497435569763,0.13047902286052704,0.1306358426809311,0.3165266215801239,0.6376811861991882,0.510871410369873,0.2555455267429352,0.1308044195175171,0.14222222566604614,0.3595505654811859
8,0.6449275612831116,0.5361010432243347,0.00019999999494757503,0.27781203389167786,0.14694538712501526,0.14642451703548431,0.3613445460796356,0.8188405632972717,0.5826431512832642,0.24673503637313843,0.2257547378540039,0.2631579041481018,0.2247191071510315
9,0.6724637746810913,0.5488564372062683,0.00019999999494757503,0.2653733491897583,0.183802530169487,0.16109046339988708,0.3641456663608551,0.8608695864677429,0.6125558614730835,0.24201934039592743,0.2168576717376709,0.39393940567970276,0.14606741070747375
10,0.6608695387840271,0.5867193341255188,0.00019999999494757503,0.2478960156440735,0.19003961980342865,0.15981198847293854,0.380952388048172,0.8826087117195129,0.6193984150886536,0.22909162938594818,0.3593035936355591,0.625,0.2247191071510315
11,0.6833333373069763,0.5905455946922302,0.00019999999494757503,0.24499881267547607,0.21049365401268005,0.1764705926179886,0.3949579894542694,0.7971014380455017,0.6063582897186279,0.2221919149160385,0.3492114245891571,0.2571428716182709,0.30337077379226685
12,0.6800724864006042,0.5872678160667419,0.00019999999494757503,0.23491047322750092,0.21648454666137695,0.1670886129140854,0.36974790692329407,0.8202898502349854,0.629138708114624,0.2087252140045166,0.3553176522254944,0.29885056614875793,0.2921348214149475
13,0.6894927620887756,0.6054686307907104,0.00019999999494757503,0.22068797051906586,0.2525938153266907,0.18112245202064514,0.3977591097354889,0.6246376633644104,0.5603301525115967,0.34526383876800537,0.3352488875389099,0.1304347813129425,0.33707866072654724
14,0.698913037776947,0.5968140959739685,0.00019999999494757503,0.216713547706604,0.22177939116954803,0.1873350888490677,0.3977591097354889,0.8884057998657227,0.6119856238365173,0.3705884516239166,0.35611996054649353,0.7727272510528564,0.1910112351179123
15,0.709782600402832,0.6083810925483704,0.00019999999494757503,0.20903612673282623,0.24861139059066772,0.195890411734581,0.4005602300167084,0.8695651888847351,0.5208454132080078,0.23481562733650208,0.14445076882839203,0.4285714328289032,0.033707864582538605
16,0.688043475151062,0.5850793123245239,0.00019999999494757503,0.2016456425189972,0.2345413714647293,0.16842105984687805,0.35854342579841614,0.7666666507720947,0.6200527548789978,0.18599800765514374,0.3610116243362427,0.22727273404598236,0.33707866072654724
17,0.7202898263931274,0.6078594326972961,0.00019999999494757503,0.1932564526796341,0.27646106481552124,0.20229555666446686,0.3949579894542694,0.8840579986572266,0.6466282606124878,0.178280308842659,0.3637940287590027,0.6800000071525574,0.1910112351179123
18,0.7333333492279053,0.6223074793815613,0.00019999999494757503,0.17971362173557281,0.3098835051059723,0.1948470175266266,0.33893558382987976,0.8768116235733032,0.626951277256012,0.16348117589950562,0.362643837928772,0.5588235259056091,0.21348313987255096
19,0.7213768362998962,0.6293410658836365,0.00019999999494757503,0.17277564108371735,0.30818161368370056,0.1925373077392578,0.3613445460796356,0.7666666507720947,0.6269606947898865,0.19112394750118256,0.35748276114463806,0.22727273404598236,0.33707866072654724
20,0.727173924446106,0.6281300187110901,0.00019999999494757503,0.1691817194223404,0.29211944341659546,0.20090635120868683,0.37254902720451355,0.7652173638343811,0.6375048756599426,0.16364352405071259,0.3574772775173187,0.221374049782753,0.3258427083492279
21,0.7224637866020203,0.6247938275337219,0.00019999999494757503,0.16648119688034058,0.2739982008934021,0.19793204963207245,0.37535014748573303,0.8927536010742188,0.665585458278656,0.14656536281108856,0.3693426549434662,0.8947368264198303,0.1910112351179123
22,0.7199275493621826,0.6166847944259644,0.00019999999494757503,0.16036050021648407,0.29367905855178833,0.1994219720363617,0.38655462861061096,0.8159420490264893,0.6708669662475586,0.14189331233501434,0.3743719458580017,0.2888889014720917,0.2921348214149475
23,0.740217387676239,0.6330514550209045,0.00019999999494757503,0.1496993750333786,0.3206063508987427,0.2142857164144516,0.3781512677669525,0.8333333134651184,0.6415899395942688,0.1387437880039215,0.368378221988678,0.3243243098258972,0.26966291666030884
24,0.7550724744796753,0.6390902996063232,0.00019999999494757503,0.14514105021953583,0.305923193693161,0.2254733145236969,0.3669467866420746,0.7739130258560181,0.6306624412536621,0.13674208521842957,0.3592725396156311,0.23622047901153564,0.33707866072654724
25,0.7427536249160767,0.6202337145805359,0.00019999999494757503,0.14126861095428467,0.29604166746139526,0.2101806253194809,0.35854342579841614,0.8159420490264893,0.630316436290741,0.14121375977993011,0.3528916835784912,0.26829269528388977,0.24719101190567017
26,0.747826099395752,0.6178819537162781,0.00019999999494757503,0.1360325813293457,0.2961685061454773,0.2082616239786148,0.33893558382987976,0.8840579986572266,0.6496570110321045,0.11979138106107712,0.36093759536743164,0.6666666865348816,0.20224718749523163
27,0.7601449489593506,0.6253020167350769,0.00019999999494757503,0.13008207082748413,0.30739420652389526,0.2170686423778534,0.32773110270500183,0.8449275493621826,0.6407672762870789,0.11747093498706818,0.36910444498062134,0.3636363744735718,0.26966291666030884
28,0.7557970881462097,0.6110154986381531,0.00019999999494757503,0.12548650801181793,0.2973567843437195,0.20373831689357758,0.30532214045524597,0.8536232113838196,0.6613228917121887,0.11415454000234604,0.3699886202812195,0.3965517282485962,0.2584269642829895
29,0.7601449489593506,0.6021785140037537,0.00019999999494757503,0.12430636584758759,0.2884954810142517,0.20502901077270508,0.2969187796115875,0.8811594247817993,0.6532464623451233,0.1215619295835495,0.3671620488166809,0.6060606241226196,0.2247191071510315
