model,yontem,threshold,accuracy,kusurlu_precision,kusurlu_recall,kusurlu_f1,yorum
Kendi CNN Model 1,Regularized CNN,0.5,0.8661,0.4718,0.1476,0.2248,Accuracy yüksek olsa da kusurlu sınıfı yakalama başarısı düşüktür.
Kendi CNN Model 2,Balanced batch CNN,0.5,0.8843,0.8985,0.1366,0.2371,Precision yüksek fakat kusurlu recall çok düşük kalmıştır.
Kendi CNN Model 3,256x256 + Focal Loss,0.4,0.4939,0.167,0.7137,0.2707,Kusurlu yakalama arttı fakat yanlış pozitif sayısı çok yükseldi.
EfficientNetB0,Transfer Learning,0.6,0.8986,0.6221,0.5837,0.6023,En dengeli ve en başarılı sonuç bu modelde elde edilmiştir.
