threshold,accuracy,kusurlu_precision,kusurlu_recall,kusurlu_f1,kusursuz_precision,kusursuz_recall,kusursuz_f1
0.05,0.8852173913043478,1.0,0.1277533039647577,0.2265625,0.8832547169811321,1.0,0.9380087664370695
0.1,0.8860869565217391,0.9295774647887324,0.14537444933920704,0.25142857142857145,0.8851731281444214,0.9983311081441922,0.9383529411764706
0.15,0.8852173913043478,0.8918918918918919,0.14537444933920704,0.25,0.8850710900473934,0.9973297730307076,0.9378531073446328
0.2,0.8840579710144928,0.8461538461538461,0.14537444933920704,0.24812030075187969,0.8849347568208779,0.9959946595460614,0.9371859296482412
0.25,0.8814492753623189,0.7528089887640449,0.14757709251101322,0.24677716390423574,0.8848556977090152,0.992656875834446,0.9356614755387761
0.3,0.8785507246376811,0.6767676767676768,0.14757709251101322,0.2423146473779385,0.8845120859444942,0.9893190921228304,0.933984559634473
0.35,0.8736231884057971,0.5775862068965517,0.14757709251101322,0.23508771929824562,0.8839232153569286,0.9836448598130841,0.9311216429699842
0.4,0.871304347826087,0.5403225806451613,0.14757709251101322,0.23183391003460208,0.8836440168370415,0.9809746328437917,0.9297690604239165
0.45,0.8686956521739131,0.5037593984962406,0.14757709251101322,0.2282793867120954,0.8833283087126922,0.9779706275033377,0.9282433074607952
0.5,0.8660869565217392,0.47183098591549294,0.14757709251101322,0.22483221476510068,0.8830108827085853,0.9749666221628839,0.9267131979695431
0.55,0.8623188405797102,0.432258064516129,0.14757709251101322,0.2200328407224959,0.8825493171471928,0.9706275033377837,0.9244953107614052
0.6,0.8591304347826086,0.40476190476190477,0.14977973568281938,0.21864951768488747,0.882388787324802,0.9666221628838452,0.9225868110863332
0.65,0.8527536231884058,0.359375,0.15198237885462554,0.21362229102167182,0.88182934315531,0.9589452603471295,0.9187719859290054
0.7,0.7915942028985508,0.20489977728285078,0.2026431718061674,0.20376522702104097,0.8793735421526158,0.8808411214953271,0.88010672002668
0.75,0.7185507246376811,0.17153748411689962,0.2973568281938326,0.21756647864625303,0.8802102891475779,0.7823765020026703,0.8284149142958119
0.8,0.7078260869565217,0.16706730769230768,0.30616740088105726,0.2161741835147745,0.8796791443850267,0.7686915887850467,0.8204488778054863
0.85,0.6878260869565217,0.1588170865279299,0.31938325991189426,0.2121433796634967,0.8782026014978321,0.7436582109479306,0.8053497198626424
0.9,0.3695652173913043,0.13522679101314117,0.7026431718061674,0.2268041237113402,0.8762603116406966,0.3190921228304406,0.46782481037435775
0.95,0.2515942028985507,0.1323427781617139,0.8436123348017621,0.22879330943847073,0.8723021582733813,0.16188251001335113,0.2730855855855856
