threshold,accuracy,kusurlu_precision,kusurlu_recall,kusurlu_f1,true_negative,false_positive,false_negative,true_positive
0.05,0.13159420289855073,0.13159420289855073,1.0,0.23258196721311475,0,2996,0,454
0.1,0.14,0.13270973399590763,1.0,0.2343225806451613,29,2967,0,454
0.15,0.1936231884057971,0.14029666254635353,1.0,0.24607046070460706,214,2782,0,454
0.2,0.2417391304347826,0.14719321148825065,0.9933920704845814,0.25639567936327456,383,2613,3,451
0.25,0.5423188405797101,0.16297183942480528,0.5991189427312775,0.2562411681582666,1599,1397,182,272
0.3,0.792463768115942,0.22821576763485477,0.2422907488986784,0.23504273504273504,2624,372,344,110
0.35,0.8515942028985507,0.36818181818181817,0.17841409691629956,0.2403560830860534,2857,139,373,81
0.4,0.8794202898550725,0.6826923076923077,0.15638766519823788,0.25448028673835127,2963,33,383,71
0.45,0.883768115942029,0.8533333333333334,0.14096916299559473,0.24196597353497165,2985,11,390,64
0.5,0.8843478260869565,0.8985507246376812,0.13656387665198239,0.23709369024856597,2989,7,392,62
0.55,0.8843478260869565,0.9104477611940298,0.1343612334801762,0.23416506717850288,2990,6,393,61
0.6,0.8843478260869565,0.9365079365079365,0.1299559471365639,0.22823984526112184,2992,4,395,59
0.65,0.883768115942029,0.9491525423728814,0.12334801762114538,0.21832358674463936,2993,3,398,56
0.7,0.8828985507246376,0.9807692307692307,0.11233480176211454,0.2015810276679842,2995,1,403,51
0.75,0.8805797101449275,0.9772727272727273,0.0947136563876652,0.17269076305220885,2995,1,411,43
0.8,0.8785507246376811,1.0,0.07709251101321586,0.14314928425357873,2996,0,419,35
0.85,0.8765217391304347,1.0,0.06167400881057269,0.11618257261410789,2996,0,426,28
0.9,0.8730434782608696,1.0,0.03524229074889868,0.06808510638297872,2996,0,438,16
0.95,0.8704347826086957,1.0,0.015418502202643172,0.03036876355748373,2996,0,447,7
