epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5014367699623108,0.5033734440803528,0.0003000000142492354,0.9704303741455078,0.513754665851593,0.48491227626800537,0.12898550927639008,0.5002150535583496,0.946721076965332,0.12898550927639008,1.0
1,0.5003591775894165,0.505482017993927,0.0003000000142492354,0.9535437226295471,0.4947761297225952,0.48148149251937866,0.12898550927639008,0.49413901567459106,1.2013007402420044,0.12898550927639008,1.0
2,0.4992816150188446,0.5029285550117493,0.0003000000142492354,0.93726646900177,0.4901185631752014,0.45288532972335815,0.12898550927639008,0.46551626920700073,1.079964280128479,0.12898550927639008,1.0
3,0.5021551847457886,0.5158884525299072,0.0003000000142492354,0.9193674921989441,0.49924585223197937,0.47832369804382324,0.23043477535247803,0.4759109318256378,0.9073337912559509,0.12794612348079681,0.8539325594902039
4,0.5093390941619873,0.5232250690460205,0.0003000000142492354,0.9033187627792358,0.5055732727050781,0.46014493703842163,0.1666666716337204,0.4996073842048645,1.0565317869186401,0.12383900582790375,0.898876428604126
5,0.5513649582862854,0.583581805229187,0.0003000000142492354,0.8452509641647339,0.5609195232391357,0.5198863744735718,0.373913049697876,0.516059398651123,1.03152596950531,0.12798264622688293,0.6629213690757751
6,0.5581896305084229,0.5797144770622253,0.0003000000142492354,0.835980236530304,0.5695266127586365,0.5430183410644531,0.35072463750839233,0.6152479648590088,1.0042638778686523,0.15009745955467224,0.8651685118675232
7,0.5743534564971924,0.6293866038322449,0.0003000000142492354,0.7874893546104431,0.5858895778656006,0.5422285199165344,0.895652174949646,0.6448708772659302,0.5148594379425049,1.0,0.1910112351179123
8,0.5811781883239746,0.6356653571128845,0.0003000000142492354,0.7765240669250488,0.6067163944244385,0.5599173307418823,0.2594202756881714,0.6210529804229736,1.2652336359024048,0.14597316086292267,0.9775280952453613
9,0.5836925506591797,0.6399480700492859,0.0003000000142492354,0.777687668800354,0.5704697966575623,0.5675074458122253,0.6391304135322571,0.6573407649993896,0.6552194952964783,0.18000000715255737,0.5056179761886597
10,0.5747126340866089,0.6341205835342407,0.0003000000142492354,0.7664878368377686,0.5830768942832947,0.5414285659790039,0.1405797153711319,0.5515058636665344,1.3984732627868652,0.12831857800483704,0.9775280952453613
11,0.5671695470809937,0.6312167644500732,0.0003000000142492354,0.7662205100059509,0.5754940509796143,0.5214899778366089,0.5536231994628906,0.5953560471534729,1.0662373304367065,0.1456310749053955,0.5056179761886597
12,0.584770143032074,0.6382595896720886,0.0001500000071246177,0.7560346126556396,0.6138306260108948,0.5452035665512085,0.2710144817829132,0.6804015636444092,1.2269803285598755,0.1503378450870514,1.0
13,0.5876436829566956,0.646375298500061,0.0001500000071246177,0.7389732599258423,0.6031128168106079,0.5484784245491028,0.32608696818351746,0.6847857236862183,0.9300335645675659,0.1556776612997055,0.9550561904907227
14,0.5894396305084229,0.6541165709495544,0.0001500000071246177,0.7350987792015076,0.5686746835708618,0.5388127565383911,0.3594202995300293,0.674176037311554,0.8768619298934937,0.15049505233764648,0.8539325594902039
15,0.6038074493408203,0.6725438237190247,0.0001500000071246177,0.7285030484199524,0.6277089715003967,0.565945565700531,0.4057970941066742,0.6493671536445618,0.780121922492981,0.16067653894424438,0.8539325594902039
