epoch,accuracy,auc,learning_rate,loss,pr_auc,precision,recall,val_accuracy,val_auc,val_loss,val_pr_auc,val_precision,val_recall
0,0.520652174949646,0.5409449934959412,0.0003000000142492354,1.0580666065216064,0.1469370275735855,0.140625,0.529411792755127,0.908695638179779,0.7662603855133057,0.5229880213737488,0.5456058979034424,0.824999988079071,0.37078651785850525
1,0.540217399597168,0.5775099396705627,0.0003000000142492354,0.9797580242156982,0.16711023449897766,0.15868262946605682,0.593837559223175,0.7420290112495422,0.8427526950836182,0.6600919365882874,0.5858327746391296,0.3056768476963043,0.7865168452262878
2,0.5710144639015198,0.6520024538040161,0.0003000000142492354,0.8715709447860718,0.21800631284713745,0.18118736147880554,0.6582633256912231,0.7072463631629944,0.8336106538772583,0.6040540337562561,0.6268322467803955,0.2712550461292267,0.7528089880943298
3,0.5760869383811951,0.6423658728599548,0.0003000000142492354,0.8883582949638367,0.2397707998752594,0.17349398136138916,0.605042040348053,0.813043475151062,0.8649909496307373,0.5854971408843994,0.6888430118560791,0.3850574791431427,0.7528089880943298
4,0.5952898263931274,0.668129563331604,0.0001500000071246177,0.8416075110435486,0.25954264402389526,0.19055373966693878,0.6554622054100037,0.7782608866691589,0.8664305210113525,0.6613332629203796,0.6706024408340454,0.3461538553237915,0.8089887499809265
5,0.6050724387168884,0.6650807857513428,0.0001500000071246177,0.8384321331977844,0.2371821254491806,0.19330543279647827,0.6470588445663452,0.8420289754867554,0.8870609402656555,0.5781266093254089,0.7091888785362244,0.43589743971824646,0.7640449404716492
6,0.5996376872062683,0.6585133671760559,0.0001500000071246177,0.8344728350639343,0.2622295618057251,0.18358713388442993,0.6078431606292725,0.8289855122566223,0.886808454990387,0.5984485149383545,0.6984676122665405,0.413173645734787,0.7752808928489685
7,0.6188405752182007,0.6950993537902832,7.500000356230885e-05,0.7980964779853821,0.3164643347263336,0.20425531268119812,0.6722689270973206,0.8289855122566223,0.9033353328704834,0.5961787104606628,0.7409365773200989,0.41420117020606995,0.7865168452262878
8,0.614130437374115,0.6920149326324463,7.500000356230885e-05,0.7899923324584961,0.28479939699172974,0.2035175859928131,0.680672287940979,0.7869565486907959,0.8809474110603333,0.6307567358016968,0.6835243701934814,0.34408602118492126,0.7191011309623718
9,0.6246376633644104,0.6848232746124268,7.500000356230885e-05,0.8021224141120911,0.2974281311035156,0.20193152129650116,0.6442577242851257,0.8231884241104126,0.883022665977478,0.5864741802215576,0.6963550448417664,0.4035087823867798,0.7752808928489685
10,0.6231883764266968,0.7009247541427612,3.7500001781154424e-05,0.7769550085067749,0.2815741002559662,0.20484010875225067,0.6638655662536621,0.8318840861320496,0.8872852325439453,0.5844902396202087,0.7126871347427368,0.4201183319091797,0.7977527976036072
11,0.6166666746139526,0.6956925392150879,3.7500001781154424e-05,0.7798840403556824,0.30489644408226013,0.20421941578388214,0.6778711676597595,0.8333333134651184,0.894436240196228,0.5920238494873047,0.7239007353782654,0.4197530746459961,0.7640449404716492
12,0.6304348111152649,0.6990922689437866,3.7500001781154424e-05,0.782905101776123,0.33440878987312317,0.2016201615333557,0.6274510025978088,0.8333333134651184,0.8948288559913635,0.5903938412666321,0.7239324450492859,0.42073169350624084,0.7752808928489685
13,0.6181159615516663,0.6827524304389954,1.8750000890577212e-05,0.7966367602348328,0.29776531457901,0.19930975139141083,0.6470588445663452,0.8086956739425659,0.8877993226051331,0.5904107689857483,0.7132267355918884,0.371257483959198,0.6966292262077332
