,precision,recall,f1-score,support
kusursuz,0.8840579710144928,0.9976635514018691,0.9374313940724479,2996.0
kusurlu,0.8985507246376812,0.13656387665198239,0.23709369024856597,454.0
accuracy,0.8843478260869565,0.8843478260869565,0.8843478260869565,0.8843478260869565
macro avg,0.8913043478260869,0.5671137140269258,0.5872625421605069,3450.0
weighted avg,0.8859651333753414,0.8843478260869565,0.8452710121779429,3450.0
